drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2014,9,0,Kyle McGrath,21,/players/m/mcgraky01.shtml,23.0,17,0,LHP,0.4,4,8,3.13,0,Padres,SDP,20,8
2015,13,9,Jacob Nix,9,/players/n/nixja02.shtml,42.333333333333336,52,5,RHP,-1.1,8,33,7.02,2,Padres,SDP,21,33
2015,12,6,Brett Kennedy,6,/players/k/kennebr02.shtml,26.666666666666668,36,2,RHP,-0.6,6,20,6.75,1,Padres,SDP,18,20
2015,11,0,Trey Wingenter,22,/players/w/wingetr01.shtml,19.0,13,0,RHP,0.1,3,8,3.79,0,Padres,SDP,27,8
2015,37,0,Phil Maton,91,/players/m/matonph01.shtml,90.33333333333333,91,4,RHP,-0.3,13,48,4.28,3,Padres,SDP,101,43
2016,46,23,Eric Lauer,23,/players/l/lauerer01.shtml,112.0,127,7,LHP,-0.2,15,61,4.34,6,Padres,SDP,100,54
2016,43,26,Joey Lucchesi,26,/players/l/lucchjo01.shtml,130.0,125,9,LHP,0.5,23,63,4.08,8,Padres,SDP,145,59
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,646,261,Tim Lincecum,269,/players/l/linceti01.shtml,1643.6666666666667,1438,83,RHP,21.8,136,705,3.61,108,Giants,SFG,1704,660
2007,385,252,Madison Bumgarner,255,/players/b/bumgama01.shtml,1638.3333333333333,1431,83,LHP,29.8,162,604,3.03,110,Giants,SFG,1591,552
2007,44,1,Dan Runzler,89,/players/r/runzlda01.shtml,72.33333333333333,65,2,LHP,0.1,2,34,3.86,4,Giants,SFG,78,31
2007,16,0,Steve Edlefsen,27,/players/e/edlefst01.shtml,26.666666666666668,37,1,RHP,-0.7,3,20,6.75,0,Giants,SFG,15,20
2007,2,0,Dan Otero,12,/players/o/oteroda01.shtml,12.333333333333334,19,0,RHP,-0.3,0,11,5.84,0,Giants,SFG,8,8
2008,17,7,Eric Surkamp,7,/players/s/surkaer01.shtml,29.333333333333332,41,3,LHP,-0.9,3,25,7.36,2,Giants,SFG,13,24
2009,73,32,Chris Heston,38,/players/h/hestoch01.shtml,188.0,184,12,RHP,1.2,16,91,4.16,13,Giants,SFG,148,87
2009,12,0,Jake Dunning,30,/players/d/dunnija01.shtml,26.0,20,2,RHP,0.3,2,8,2.77,0,Giants,SFG,16,8
2010,2,0,Heath Hembree,9,/players/h/hembrhe01.shtml,7.666666666666667,4,0,RHP,0.3,0,0,0.0,0,Giants,SFG,12,0
2010,11,3,Mike Kickham,14,/players/k/kickhmi01.shtml,30.333333333333332,54,3,LHP,-1.6,9,39,10.98,0,Giants,SFG,30,37
2010,3,0,Brett Bochy,7,/players/b/bochybr02.shtml,6.333333333333333,2,0,RHP,0.1,1,2,2.84,0,Giants,SFG,6,2
2011,17,0,Kyle Crick,30,/players/c/crickky01.shtml,32.333333333333336,22,0,RHP,0.4,2,13,3.06,0,Giants,SFG,28,11
2011,61,0,Josh Osich,160,/players/o/osichjo01.shtml,120.33333333333333,123,5,LHP,-1.0,20,75,5.01,6,Giants,SFG,105,67
2011,10,0,Ray Black,26,/players/b/blackra01.shtml,23.333333333333332,17,2,RHP,-0.4,4,16,6.17,2,Giants,SFG,33,16
2011,31,0,Derek Law,109,/players/l/lawde01.shtml,105.66666666666667,105,3,RHP,1.1,10,47,3.83,9,Giants,SFG,97,45
2011,4,0,Cody Hall,7,/players/h/hallco01.shtml,8.333333333333334,10,0,RHP,-0.1,1,6,6.48,0,Giants,SFG,7,6
2012,87,36,Chris Stratton,48,/players/s/stratch01.shtml,213.66666666666666,223,14,RHP,0.7,25,116,4.63,15,Giants,SFG,169,110
2012,15,0,Steven Okert,70,/players/o/okertst01.shtml,48.333333333333336,42,1,LHP,0.2,6,24,4.28,1,Giants,SFG,44,23
2012,89,39,Ty Blach,85,/players/b/blachty01.shtml,299.3333333333333,320,19,LHP,2.2,26,155,4.36,15,Giants,SFG,158,145
2013,0,0,Dan Slania,1,/players/s/slanida01.shtml,1.0,0,0,RHP,0.0,0,0,0.0,0,Giants,SFG,0,0
2013,3,0,D.J. Snelten,4,/players/s/sneltdj01.shtml,4.333333333333333,9,0,LHP,-0.2,2,6,10.38,0,Giants,SFG,4,5
2014,8,2,Tyler Beede,2,/players/b/beedety01.shtml,7.666666666666667,9,1,RHP,-0.3,0,7,8.22,0,Giants,SFG,9,7
2015,45,29,Andrew Suarez,29,/players/s/suarean01.shtml,160.33333333333334,163,13,LHP,0.5,23,85,4.49,7,Giants,SFG,130,80
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,36,16,Greg Reynolds,27,/players/r/reynogr01.shtml,94.0,123,8,RHP,-1.4,20,80,7.47,5,Rockies,COL,40,78
2006,6,0,Will Harris,20,/players/h/harriwi10.shtml,17.666666666666668,27,1,RHP,-0.5,3,18,8.15,1,Rockies,COL,19,16
2007,40,0,Matt Reynolds,165,/players/r/reynoma02.shtml,126.0,123,3,LHP,2.2,23,59,3.93,5,Rockies,COL,118,55
2007,0,0,Bruce Billings,1,/players/b/billibr02.shtml,2.0,5,0,RHP,0.0,0,1,4.5,0,Rockies,COL,0,1
2008,65,19,Christian Friedrich,100,/players/f/friedch01.shtml,167.33333333333334,202,16,LHP,-0.8,22,119,5.81,5,Rockies,COL,146,108
2009,63,24,Tyler Matzek,25,/players/m/matzety01.shtml,139.66666666666666,141,12,LHP,2.5,11,63,4.06,8,Rockies,COL,106,63
2009,140,0,Rex Brothers,286,/players/b/brothre01.shtml,242.33333333333334,221,11,LHP,5.0,21,103,3.42,16,Rockies,COL,278,92
2009,21,0,Rob Scahill,41,/players/s/scahiro01.shtml,57.0,64,0,RHP,0.6,8,28,4.42,2,Rockies,COL,35,28
2010,189,89,Chad Bettis,125,/players/b/bettich01.shtml,537.0,594,25,RHP,4.0,69,322,5.01,30,Rockies,COL,389,299
2010,31,15,Christian Bergman,55,/players/b/bergmch01.shtml,147.66666666666666,196,9,RHP,-0.3,24,97,5.79,7,Rockies,COL,90,95
2010,2,0,Kenny Roberts,9,/players/r/roberke02.shtml,9.333333333333334,13,1,LHP,0.0,0,6,5.79,0,Rockies,COL,5,6
2011,113,66,Tyler Anderson,68,/players/a/anderty01.shtml,376.3333333333333,372,21,LHP,7.4,58,192,4.3,18,Rockies,COL,344,180
2012,70,28,Eddie Butler,36,/players/b/butleed01.shtml,159.33333333333334,212,16,RHP,-2.1,28,126,6.5,6,Rockies,COL,94,115
2012,11,0,Matt Carasiti,19,/players/c/carasma01.shtml,15.666666666666666,25,0,RHP,-0.6,1,17,9.19,1,Rockies,COL,17,16
2012,78,0,Scott Oberg,210,/players/o/obergsc01.shtml,201.33333333333334,200,7,RHP,2.5,21,102,4.29,12,Rockies,COL,176,96
2013,155,89,Jon Gray,89,/players/g/grayjo02.shtml,491.3333333333333,498,25,RHP,7.0,59,267,4.65,32,Rockies,COL,520,254
2014,133,61,Kyle Freeland,66,/players/f/freelky01.shtml,358.3333333333333,351,18,LHP,11.6,34,142,3.39,28,Rockies,COL,280,135
2014,3,0,Sam Howard,4,/players/h/howarsa01.shtml,4.0,5,0,LHP,0.1,0,1,2.25,0,Rockies,COL,1,1
2014,22,0,Harrison Musgrave,35,/players/m/musgrha01.shtml,44.666666666666664,36,3,LHP,0.5,7,23,4.63,2,Rockies,COL,32,23
2014,1,0,Jerry Vasto,1,/players/v/vastoje01.shtml,0.6666666666666666,3,0,LHP,-0.2,0,3,40.5,0,Rockies,COL,1,3
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,84,37,Max Scherzer,46,/players/s/scherma01.shtml,226.33333333333334,214,15,RHP,2.6,25,118,3.86,9,Diamondbacks,ARI,240,97
2006,6,0,Daniel Stange,4,/players/s/stangda01.shtml,4.0,4,0,RHP,-0.2,1,6,13.5,0,Diamondbacks,ARI,2,6
2006,24,0,Clay Zavada,49,/players/z/zavadcl01.shtml,51.0,45,3,LHP,0.6,5,22,3.35,3,Diamondbacks,ARI,52,19
2007,1,1,Jarrod Parker,1,/players/p/parkeja02.shtml,5.666666666666667,4,0,RHP,0.4,0,0,0.0,0,Diamondbacks,ARI,1,0
2007,44,24,Barry Enright,24,/players/e/enrigba01.shtml,136.66666666666666,147,11,RHP,0.5,31,74,4.87,7,Diamondbacks,ARI,70,74
2007,6,2,Bryan Augenstein,7,/players/a/augenbr01.shtml,17.0,23,1,RHP,-0.5,2,16,7.94,0,Diamondbacks,ARI,6,15
2007,157,75,Josh Collmenter,200,/players/c/collmjo01.shtml,659.3333333333334,621,33,RHP,7.4,78,274,3.54,36,Diamondbacks,ARI,460,259
2008,15,0,Daniel Schlereth,21,/players/s/schleda01.shtml,18.333333333333332,15,4,LHP,-0.2,1,13,5.89,1,Diamondbacks,ARI,22,12
2008,196,102,Wade Miley,106,/players/m/mileywa01.shtml,638.6666666666666,649,35,LHP,5.0,64,290,3.79,38,Diamondbacks,ARI,499,269
2008,32,0,Bryan Shaw,97,/players/s/shawbr01.shtml,87.66666666666667,90,6,RHP,0.6,6,38,3.18,2,Diamondbacks,ARI,65,31
2008,8,0,Ryan Cook,12,/players/c/cookry01.shtml,7.666666666666667,11,1,RHP,-0.2,0,6,7.04,0,Diamondbacks,ARI,7,6
2009,3,0,Bradin Hagens,2,/players/h/hagenbr01.shtml,2.6666666666666665,4,1,RHP,0.0,0,1,3.38,0,Diamondbacks,ARI,2,1
2009,80,48,Chase Anderson,48,/players/a/anderch01.shtml,267.0,275,13,RHP,1.8,34,131,4.18,15,Diamondbacks,ARI,216,124
2009,2,0,Charles Brewer,4,/players/b/brewech01.shtml,6.0,8,0,RHP,0.1,0,2,3.0,0,Diamondbacks,ARI,5,2
2010,17,9,Mike Bolsinger,10,/players/b/bolsimi01.shtml,52.333333333333336,66,6,RHP,-0.9,7,36,5.5,1,Diamondbacks,ARI,48,32
2010,6,0,Keith Hessler,20,/players/h/hesslke01.shtml,15.333333333333334,21,1,LHP,-0.5,4,14,8.22,0,Diamondbacks,ARI,14,14
2011,13,4,Trevor Bauer,4,/players/b/bauertr01.shtml,16.333333333333332,14,2,RHP,-0.3,2,13,6.06,1,Diamondbacks,ARI,17,11
2011,130,34,Archie Bradley,173,/players/b/bradlar01.shtml,322.0,307,20,RHP,4.8,32,151,4.05,17,Diamondbacks,ARI,320,145
2011,95,3,Andrew Chafin,249,/players/c/chafian01.shtml,212.33333333333334,180,9,LHP,3.3,9,86,3.52,7,Diamondbacks,ARI,210,83
2011,30,0,Evan Marshall,85,/players/m/marshev01.shtml,78.0,98,7,RHP,-0.2,8,44,4.5,4,Diamondbacks,ARI,70,39
2012,45,0,Jake Barrett,103,/players/b/barreja01.shtml,93.33333333333333,82,4,RHP,0.8,14,47,4.05,2,Diamondbacks,ARI,88,42
2013,45,14,Braden Shipley,26,/players/s/shiplbr01.shtml,100.0,115,6,RHP,-0.1,19,65,5.49,4,Diamondbacks,ARI,64,61
2013,12,0,Jimmie Sherfy,26,/players/s/sherfji01.shtml,27.0,13,0,RHP,1.1,1,3,1.0,2,Diamondbacks,ARI,26,3
2013,6,0,Steve Hathaway,24,/players/h/hathast01.shtml,14.666666666666666,18,0,LHP,0.1,1,8,4.91,0,Diamondbacks,ARI,15,8
2014,13,0,Zac Curtis,21,/players/c/curtiza01.shtml,13.333333333333334,13,1,LHP,-0.2,2,10,6.75,0,Diamondbacks,ARI,10,10
