drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2010,1,1,Sean Nolin,2,/players/n/nolinse01.shtml,2.3333333333333335,8,1,LHP,-0.3,2,7,27.0,0,Blue Jays,TOR,0,7
2010,51,0,Danny Barnes,119,/players/b/barneda02.shtml,120.66666666666667,109,9,RHP,1.2,17,60,4.33,6,Blue Jays,TOR,114,58
2011,1,0,Taylor Cole,1,/players/c/coleta01.shtml,1.0,6,0,RHP,-0.3,0,4,36.0,0,Blue Jays,TOR,1,4
2012,186,108,Marcus Stroman,114,/players/s/stromma01.shtml,665.0,670,34,RHP,10.6,60,315,3.91,41,Blue Jays,TOR,536,289
2012,33,17,Ryan Borucki,17,/players/b/borucry01.shtml,97.66666666666667,96,6,LHP,1.7,7,48,3.87,4,Blue Jays,TOR,67,42
2013,1,2,Matthew Boyd,2,/players/b/boydma01.shtml,6.666666666666667,15,2,LHP,-0.5,5,11,14.85,0,Blue Jays,TOR,7,11
2013,0,0,Kendall Graveman,5,/players/g/graveke01.shtml,4.666666666666667,4,0,RHP,0.1,0,2,3.86,0,Blue Jays,TOR,4,2
2013,2,0,Chad Girodo,14,/players/g/girodch01.shtml,10.333333333333334,11,0,LHP,0.1,3,5,4.35,0,Blue Jays,TOR,5,5
2013,18,0,Tim Mayza,56,/players/m/mayzati01.shtml,52.666666666666664,57,0,LHP,0.4,6,28,4.44,3,Blue Jays,TOR,67,26
2013,5,0,Matt Dermody,28,/players/d/dermoma01.shtml,25.333333333333332,29,0,LHP,0.0,7,17,5.33,2,Blue Jays,TOR,20,15
2014,21,7,Sean Reid-Foley,7,/players/r/reidfse01.shtml,33.333333333333336,31,4,RHP,-0.1,6,23,5.13,2,Blue Jays,TOR,42,19
2014,7,0,Justin Shafer,6,/players/s/shafeju01.shtml,8.333333333333334,6,0,RHP,0.1,1,4,3.24,0,Blue Jays,TOR,2,3
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,204,115,Alex Cobb,115,/players/c/cobbal01.shtml,700.0,648,35,RHP,10.799999999999999,65,290,3.5,48,Devil Rays,TBR,570,272
2007,309,170,David Price,175,/players/p/priceda01.shtml,1143.6666666666667,997,47,LHP,21.200000000000003,107,449,3.18,82,Devil Rays,TBR,1065,404
2007,228,94,Matt Moore,96,/players/m/moorema02.shtml,540.0,495,28,RHP,5.3999999999999995,63,251,3.88,39,Devil Rays,TBR,494,233
2009,10,0,Andrew Bellatti,17,/players/b/bellaan01.shtml,23.333333333333332,16,1,RHP,0.6,4,7,2.31,3,Rays,TBR,18,6
2009,5,0,Dylan Floro,12,/players/f/florody01.shtml,15.0,23,1,RHP,0.0,0,8,4.2,0,Rays,TBR,14,7
2010,10,0,C.J. Riefenhauser,24,/players/r/riefecj01.shtml,20.0,21,0,LHP,-0.5,3,15,6.3,1,Rays,TBR,9,14
2011,174,74,Blake Snell,74,/players/s/snellbl01.shtml,399.0,318,20,LHP,9.3,36,150,2.95,32,Rays,TBR,438,131
2011,64,26,Jake Faria,33,/players/f/fariaja01.shtml,151.66666666666666,131,8,RHP,1.2,20,74,4.27,9,Rays,TBR,134,72
2012,5,0,Dylan Floro,12,/players/f/florody01.shtml,15.0,23,1,RHP,0.0,0,8,4.2,0,Rays,TBR,14,7
2012,16,0,Ryan Garton,44,/players/g/gartory01.shtml,49.666666666666664,57,3,RHP,-0.30000000000000004,8,30,5.26,1,Rays,TBR,42,29
